id,title,skills,skills_count
119592307,Лаборант химического анализа,"['Контроль качества', 'Ведение документации', 'Взаимодействие с контролирующими органами', 'Контрольно-измерительные операции']",4
120096153,Инженер-лаборант (строительный контроль),"['Пользователь ПК', 'Работа в команде', 'Ведение документации', 'Word, Excel']",4
119533647,Инженер-лаборант 1 категории аналитической лаборатории Испытательного центра,"['химический анализ', 'органолептический анализ', 'анализ воды', 'анализ почвы', 'внутрилабораторный контроль', 'ВЛК', 'СМК', 'аккредитованная лаборатория', 'Аттестация', 'Поверка', 'Ведение рабочих журналов']",11
120292754,Лаборант (на производство),"['Документация испытательной лаборатории', 'Проведение испытаний', 'Обработка результатов испытаний', 'Уход за лабораторной аппаратурой', 'Проведение лабораторных исследований', 'Контроль качества', 'Контроль качества готовой продукции', 'Контроль качества продукции', 'Химические методы анализа', 'Экологическая безопасность', 'Менеджмент качества', 'Ответственность', 'Лабораторная работа', 'Умение работать в коллективе', 'Знание свойств металлов', 'химический анализ']",16
118416640,Техник-лаборант физико-механических испытаний/начинающий специалист,"['Работа в команде', 'Творческое мышление', 'усидчивость', 'аккуратность', 'работа со строительным инструментом']",5
119825915,Лаборант,['Проведение лабораторных исследований'],1
120067265,Лаборант химического анализа,"['Пользователь ПК', 'оформление документации', 'Работа с документами', 'Навыки составления отчетности', 'Владение офисной техникой', 'Владение MS Office']",6
119564369,Лаборант 1 категории метрологической лаборатории,"['Метрология', 'Документальное сопровождение', 'Деловая переписка', 'Уход за лабораторной аппаратурой', 'Производственный контроль', 'Технологический аудит']",6
120043998,Лаборант,"['Лабораторная работа', 'Производственный контроль', 'Бережливое производство']",3
88974080,Лаборант отдела контроля качества,"['Контроль качества', 'Производственный контроль', 'Пользователь ПК', 'Анализ сырья', 'Химические методы анализа', 'Станки ЧПУ', 'Знание устройства производственного оборудования']",7
119444477,Инженер-лаборант,"['Пользователь ПК', 'Технический контроль производства', 'Контроль качества', 'Строительство', 'Работа с технической документацией']",5
119507494,Лаборант химического анализа,"['Химические методы анализа', 'Лабораторная работа', 'Контроль качества']",3
120014102,Лаборант,"['Химические методы анализа', 'Работа в команде', 'Лабораторная работа', 'Ветеринария', 'Биотехнология', 'биология', 'Микробиология']",7
112158757,Лаборант входного контроля на пищевое производство,"['Технология производства', 'Контроль качества', 'Лабораторная работа', 'Технический контроль производства', 'Производственный контроль']",5
119275939,Химик-лаборант (г. Котельники),"['Работа в команде', 'Поиск информации в интернет', 'Лабораторная работа', 'Internet', 'Умение работать в коллективе']",5
119827521,Лаборант химического анализа,"['Работа в коллективе', 'Дружелюбие', 'способность быстро обучаться и легко воспринимать крупные объемы информации']",3
120123744,Лаборант,"['Пользователь ПК', 'Работа в команде', 'Безопасность', 'Обеспечение техники безопасности', 'Дружелюбность', 'Ответственный подход к работе', 'Ответственность', 'Лабораторная работа', 'Документальное сопровождение']",9
119796981,Лаборант в департамент R&D фармпрепаратов,"['Химические методы анализа', 'Пользователь ПК', 'Документальное сопровождение', 'Работа в лаборатории']",4
120018725,Инженер-лаборант (дорожные испытания),"['Высшее образование', 'Способность быстро принимать решения', 'Ведение документации', 'Умение работать в условиях многозадачности']",4
119651381,Инженер-лаборант отдела производственной лаборатории,"['Контроль качества', 'Пользователь ПК']",2
119531474,Лаборант по физико-механическим испытаниям,"['Контроль качества', 'Контроль качества готовой продукции', 'Анализ производственных показателей']",3
120202818,Оператор производства/Лаборант,"['Работа в команде', 'Ответственность', 'Добросовестность', 'Физическая активность', 'Защита растений']",5
120235674,Лаборант химического анализа,"['Контроль качества', 'Контроль качества продукции', 'Производственный контроль', 'Проведение лабораторных исследований', 'Химические методы анализа', 'Входной контроль сырья', 'Технологии химической промышленности']",7
118587437,Ветеринарный врач-лаборант,"['Ветеринария', 'Лабораторная диагностика', 'Проведение лабораторных исследований']",3
119543927,Фельдшер-лаборант/медицинский лабораторный техник,"['Лабораторная работа', 'Работа в команде', 'Высокая энергичность и инициативность']",3
120029870,Лаборант-микробиолог,"['Умение работать в коллективе', 'Составление отчетности', 'Биологические исследования', 'Санитарный контроль', 'навыки работы с электронной почтой']",5
120275379,Химик-лаборант,"['Работа в команде', 'Умение работать в коллективе', 'ПК', 'Работа в условиях многозадачности', 'Работа с компьютером']",5
118638058,Контролер ОТК/Лаборант,"['Контроль качества', 'оформление документации']",2
120231463,Инженер пробирного анализа/Инженер-химик,"['пробирный анализ', 'золото', 'плавка', 'лаборант']",4
119521094,Лаборант-исследователь,['Уход за растениями'],1
119832293,Лаборант-микробиолог,"['Работа с большим объемом информации', 'Подготовка отчетов', 'Химические методы анализа', 'Аналитическое мышление', 'Деловая коммуникация', 'Документооборот', 'Лабораторная работа']",7
